Query_Number,Cost_AIndex
Total Initial Cost Q1,1761.8100000000002
Total Final Cost Q1,3514.51
Total Initial Cost Q2,1803650.92
Total Final Cost Q2,2159133.64
Total Initial Cost Q3,1416070.3099999998
Total Final Cost Q3,2820967.5599999996
Total Initial Cost Q4,2063988.28
Total Final Cost Q4,2879662.66
Total Initial Cost Q5,620634.33
Total Final Cost Q5,1074709.6400000001
Total Initial Cost Q6,739373.2
Total Final Cost Q6,1115176.04
Total Initial Cost Q7,781974.05
Total Final Cost Q7,1172763.44
Total Initial Cost Q8,1425061.48
Total Final Cost Q8,1780881.01
Total Initial Cost Q9,7378840.36
Total Final Cost Q9,8318145.44
Total Initial Cost Q10,1572760.08
Total Final Cost Q10,2116386.87
Total Initial Cost Q11,7662182.24
Total Final Cost Q11,8646306.1
Total Initial Cost Q12,213556.81999999998
Total Final Cost Q12,453804.30000000005
Total Initial Cost Q13,382369.81999999995
Total Final Cost Q13,856166.7599999999
Total Initial Cost Q14,1411974.61
Total Final Cost Q14,2111969.12
Total Initial Cost Q15,1434528.92
Total Final Cost Q15,1795057.44
Total Initial Cost Q16,7.89
Total Final Cost Q16,1760.58
Total Initial Cost Q17,1219070.46
Total Final Cost Q17,3491692.78
Total Initial Cost Q18,2000.0
Total Final Cost Q18,1489093.44
Total Initial Cost Q19,1498468.91
Total Final Cost Q19,2291224.0900000003
Total Initial Cost Q20,1215087.08
Total Final Cost Q20,1563577.35
